email,response
"My order has not arrived yet.","Hello, we're sorry for the delay. We're checking your shipment and will update you shortly."
"I received the wrong product.","We apologize for the mistake. We'll arrange a replacement immediately."
"The product arrived damaged.","We're sorry to hear that. Please share a photo of the damaged product and we'll process a replacement."
"I want to return my order.","Certainly. We've initiated the return process. You'll receive return instructions shortly."
"I need a refund.","We've received your refund request and will process it within 5–7 business days."
"I want to cancel my order.","Your cancellation request has been received. We'll confirm once it's processed."
"I forgot my password.","Please use the 'Forgot Password' option to reset your password."
"I cannot log into my account.","We're sorry for the inconvenience. Please verify your credentials or reset your password."
"Can I change my delivery address?","If your order hasn't shipped yet, we can update your delivery address."
"When will my package arrive?","Your package is currently in transit. We'll notify you as soon as there's an update."
"My payment failed.","Please try another payment method or verify your card details before trying again."
"I was charged twice.","We're sorry for the inconvenience. We'll investigate the duplicate transaction and refund any extra charges."
"I need an invoice for my purchase.","Certainly. Your invoice will be emailed to your registered email address shortly."
"The tracking number is not working.","Tracking information may take a few hours to update. Please try again later."
"My package shows delivered but I didn't receive it.","We're sorry to hear that. We'll investigate this with the courier immediately."
"I want to exchange my product for another size.","We'll be happy to help. Please initiate an exchange request from your orders page."
"The product stopped working after a week.","We're sorry about that. Please share the order details so we can process a warranty claim."
"I received an incomplete order.","We apologize for the missing items. We'll arrange to ship them as soon as possible."
"I entered the wrong shipping address.","If your order hasn't been dispatched yet, we'll update the address immediately."
"Can I modify my order after placing it?","If the order hasn't entered processing, we'll help you modify it."
"My coupon code is not working.","Please verify the coupon validity and eligibility. We'll gladly assist if the issue persists."
"I cannot apply my discount.","We'll review the promotion and help you apply any eligible discount."
"How do I track my shipment?","You can track your shipment using the tracking link available in your order confirmation email."
"I need help with my subscription.","Please let us know your subscription details and we'll assist you."
"I want to cancel my subscription.","We've received your request and will process the subscription cancellation."
"I was billed after cancelling.","We're sorry for the inconvenience. We'll verify your billing history and resolve the issue."
"My account has been locked.","For security reasons your account may be temporarily locked. Please contact support for verification."
"I didn't receive the verification email.","Please check your spam folder or request a new verification email."
"I accidentally placed two orders.","We'll review both orders and help cancel the duplicate if eligible."
"I want to reorder my previous purchase.","You can reorder from your order history. Let us know if you need assistance."
"The website is very slow.","Thank you for reporting this. Our technical team is investigating the performance issue."
"I found a bug on your website.","We appreciate your feedback. Our engineering team will investigate the reported issue."
"I can't upload my documents.","Please ensure the files meet the supported format and size requirements."
"The mobile app keeps crashing.","We're sorry about the inconvenience. Please update the app or reinstall it while we investigate."
"I want to update my email address.","We'll help you update your account information after verifying your identity."
"I need to change my phone number.","Please verify your identity and we'll update your registered phone number."
"I have not received my OTP.","Please wait a few minutes and request another OTP if necessary."
"I want to delete my account.","We're sorry to see you go. We'll guide you through the account deletion process."
"How can I contact customer support?","You can reach us through email, live chat, or our customer support hotline."
"I need technical support.","Please describe the issue in detail and our support team will assist you."
"My gift card is not working.","Please share the gift card number so we can verify its status."
"I have warranty questions.","We'll gladly explain the warranty coverage for your product."
"I received the wrong invoice.","We're sorry for the error. We'll issue a corrected invoice shortly."
"My order is marked as cancelled unexpectedly.","We'll investigate why your order was cancelled and provide an update."
"I want to pre-order a product.","Thank you for your interest. We'll notify you once pre-orders become available."
"The product I want is out of stock.","We'll notify you when the item is back in stock."
"I have feedback about your service.","Thank you for sharing your feedback. We truly appreciate your suggestions."
"I would like to file a complaint.","We're sorry for your experience. We'll investigate your complaint and respond promptly."
"Can you recommend a product for me?","Certainly. Please let us know your requirements and we'll suggest suitable products."
"Do you offer international shipping?","Yes, we ship to selected countries. Shipping availability depends on your location."
"What are your business hours?","Our customer support team is available Monday through Friday during business hours."
